researcher_name,obrss_name,correct_match
"IEEE International Workshop on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems - Proceedings409-417",International Conference on Computer Modelling and Simulation,no
Mathematics of Computation84(293):1389-1399,Mathematics,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",ACM Multimedia,no
Artificial Intelligence Review25(1-2):55-65,Artificial Intelligence,yes
Journal of Ambient Intelligence and Smart Environments2(3):253-269,Intelligent Environments,no
Journal of Ambient Intelligence and Smart Environments2(3):253-269,Journal of Ambient Intelligence and Smart Environments,yes
International journal of neural systems10(4):267-279,International Journal of Intelligent Systems,no
Software - Practice and Experience47(11):1837-1874,Software: Practice and Experience,yes
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",Artificial Intelligence,no
ACM Transactions on Sensor Networks9(2),ACM Transactions on Sensor Networks,yes
ACM Transactions on Knowledge Discovery from Data12(3),ACM SIGKDD Conference on Knowledge Discovery and Data Mining,no
ACM Transactions on Knowledge Discovery from Data12(3),Data & Knowledge Engineering,no
Algorithm Theory â€“ SWAT 20064059:53-64,Algorithmica,no
"Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2014376-382",iConference,no
Proceedings of the VLDB Endowment13(9):1582-1597,VLDB workshop on Management of Uncertain Data,no
IJCAI International Joint Conference on Artificial Intelligence2244-2249,International Conference on Artificial Intelligence,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium Workshops and PhD Forum, IPDPSW 201384-92",International Conference on Parallel Processing,no
ACM Transactions on Sensor Networks10(2),ACM Transactions on Computer Systems,no
8th International Conference on Mobile Data Management,"Management""",no
HT 2018 - Proceedings of the 29th ACM Conference on Hypertext and Social Media251-252,Social Informatics,no
IEEE Intelligent Systems130-135,IEEE Systems Journal,no
IEEE Transactions on Parallel and Distributed Systems30(1):218-229,IEEE Transactions on Parallel and Distributed Systems,yes
International Journal of Data Warehousing and Mining8(1):24-51,International Journal of Business Intelligence and Data Mining,no
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks51-62,iConference,no
Multimedia Tools and Applications48(1):141-159,Signal Processing and Multimedia Applications,no
